neighbourhood_group,latitude,longitude,room_type,minimum_nights,availability_365
Manhattan,40.75765,-73.96466,Entire home/apt,1,287
Bronx,40.87271,-73.89972,Private room,3,81
Brooklyn,40.57863,-73.98455,Shared room,18,221
Queens,40.71368,-73.76337,Private room,3,89
Queens,40.74685,-73.91586,Private room,1,66
Brooklyn,40.69994,-73.92378,Entire home/apt,5,72
Brooklyn,40.64807,-73.9789,Private room,7,102
Brooklyn,40.63304,-73.95625,Entire home/apt,2,262
Manhattan,40.70571,-74.01509,Entire home/apt,30,142
Brooklyn,40.69825,-73.93029,Private room,2,61
Queens,40.77419,-73.91113,Private room,2,11
Brooklyn,40.66113,-73.94542,Private room,2,88
Brooklyn,40.69608,-73.9121,Entire home/apt,2,5
Brooklyn,40.68183,-74.00369,Private room,2,188
Manhattan,40.78284,-73.94825,Entire home/apt,2,341
Brooklyn,40.6695,-73.92226,Private room,1,39
Queens,40.6841,-73.78203,Private room,1,155
Bronx,40.89984,-73.86902,Entire home/apt,2,299
Manhattan,40.77796,-73.98191,Entire home/apt,30,36
Queens,40.74364,-73.94676,Private room,14,2
Brooklyn,40.67797,-73.90924,Shared room,1,89
Manhattan,40.75286,-73.99551,Entire home/apt,30,364
Manhattan,40.79098,-73.96745,Entire home/apt,30,281
Manhattan,40.70956,-74.01605,Entire home/apt,30,43
Manhattan,40.71978,-73.98705,Entire home/apt,2,297
Manhattan,40.80497,-73.94592,Private room,3,365
Queens,40.77029,-73.92493,Entire home/apt,1,263
Brooklyn,40.70698,-73.96193,Entire home/apt,4,82
Brooklyn,40.70318,-73.9878,Private room,3,111
Manhattan,40.78046,-73.98818,Private room,3,339
Manhattan,40.74882,-73.98041,Entire home/apt,30,342
Manhattan,40.7991,-73.96963,Private room,5,29
Manhattan,40.73309,-74.00482,Entire home/apt,1,3
Manhattan,40.8063,-73.9454,Private room,4,119
Brooklyn,40.6926,-73.94076,Private room,30,364
Brooklyn,40.66685,-73.93828,Private room,2,79
Brooklyn,40.68861,-73.95214,Private room,5,1
Queens,40.73744,-73.88136,Private room,2,28
Queens,40.7419,-73.90236,Private room,3,44
